countryCode,thematicIdIdentifier,thematicIdIdentifierScheme,monitoringSiteIdentifier,monitoringSiteIdentifierScheme,monitoringSiteName,waterBodyIdentifier,waterBodyIdentifierScheme,waterBodyName,specialisedZoneType,naturalAWBHMWB,reservoir,surfaceWaterBodyTypeCode,subUnitIdentifier,subUnitIdentifierScheme,subUnitName,rbdIdentifier,rbdIdentifierScheme,rbdName,confidentialityStatus,lon,lat,statusCode
"CH","CHRW-1840","eionetMonitoringSiteCode","CHRW-1840","eionetMonitoringSiteCode","RIAZZINO","CHRWB-2175","eionetSurfaceWaterBodyCode","TICINO","riverWaterBody","","","","CHSU-4","eionetSubUnitCode","PO","CHRBD-4","eionetRBDCode","PO","F","8.90992","46.16345","stable"
"CH","CHSF-2020","eionetMonitoringSiteCode","CHSF-2020","eionetMonitoringSiteCode","TICINO - BELLINZONA","CHRWB-2175","eionetSurfaceWaterBodyCode","TICINO","riverWaterBody","","","","CHSU-4","eionetSubUnitCode","PO","CHRBD-4","eionetRBDCode","PO","F","9.00929","46.19376","stable"
"CH","CHRW-2986","eionetMonitoringSiteCode","CHRW-2986","eionetMonitoringSiteCode","GROSSE ALLMEND, OBERSEE","CHRWB-2234","eionetSurfaceWaterBodyCode","LINTHKANAL","riverWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","8.97069","47.21680","stable"
"CH","CHRW-6258","eionetMonitoringSiteCode","CHRW-6258","eionetMonitoringSiteCode","ZEININGEN","CHRWB-2306","eionetSurfaceWaterBodyCode","MÖHLINBACH","riverWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","7.87173","47.54194","stable"
"CH","CHLW-1650","eionetMonitoringSiteCode","CHLW-1650","eionetMonitoringSiteCode","HASENSEE, WESTBECKEN","CHLWB-3047","eionetSurfaceWaterBodyCode","HASENSEE WESTBECKEN","lakeWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","8.82710","47.60792","stable"
"CH","CHSF-2403","eionetMonitoringSiteCode","CHSF-2403","eionetMonitoringSiteCode","INN - CINUOS-CHEL","CHRWB-2134","eionetSurfaceWaterBodyCode","INN","riverWaterBody","","","","CHSU-3","eionetSubUnitCode","DANUBE","CHRBD-3","eionetRBDCode","DANUBE","F","10.02095","46.63549","stable"
"CH","CHSF-2132","eionetMonitoringSiteCode","CHSF-2132","eionetMonitoringSiteCode","TOESS - NEFTENBACH","CHRWB-2148","eionetSurfaceWaterBodyCode","TOESS","riverWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","8.65294","47.51875","stable"
"CH","CHSF-2481","eionetMonitoringSiteCode","CHSF-2481","eionetMonitoringSiteCode","ENGELBERGER AA - BUOCHS, FLUGPLATZ","CHRWB-2090","eionetSurfaceWaterBodyCode","ENGELBERGER AA","riverWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","8.40533","46.97277","stable"
"CH","CHLW-3713","eionetMonitoringSiteCode","CHLW-3713","eionetMonitoringSiteCode","VIERWALDSTÄTTERSEE","CHLWB-3018","eionetSurfaceWaterBodyCode","VIERWALDSTÄTTERSEE","lakeWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","8.34555","47.04240","stable"
"CH","CHNTG44","eionetMonitoringSiteCode","CHNTG44","eionetMonitoringSiteCode","VOLKETSWIL","CH3103","eionetGroundWaterBodyCode","OBERES GLATTTAL","groundWaterBody","","","","","","","CHRBD-1","eionetRBDCode","RHINE","F","8.69862","47.38937","stable"
"CH","CHNTQ23","eionetMonitoringSiteCode","CHNTQ23","eionetMonitoringSiteCode","MUND","CH1302","eionetGroundWaterBodyCode","WALLIS NORD","groundWaterBody","","","","","","","CHRBD-2","eionetRBDCode","RHONE","F","7.94724","46.32520","stable"
"CH","CHLW-1639","eionetMonitoringSiteCode","CHLW-1639","eionetMonitoringSiteCode","AEGERISEE","CHLWB-3026","eionetSurfaceWaterBodyCode","AEGERISEE","lakeWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","8.61847","47.12268","stable"
"CH","CHNTQ03","eionetMonitoringSiteCode","CHNTQ03","eionetMonitoringSiteCode","L'ABBAYE","CH2301","eionetGroundWaterBodyCode","LAC DE NEUCHÂTEL-MURTENSEE","groundWaterBody","","","","","","","CHRBD-1","eionetRBDCode","RHINE","F","6.67497","46.64942","stable"
"CH","CHNTQ32","eionetMonitoringSiteCode","CHNTQ32","eionetMonitoringSiteCode","MONTMAGNY","CH2301","eionetGroundWaterBodyCode","LAC DE NEUCHÂTEL-MURTENSEE","groundWaterBody","","","","","","","CHRBD-1","eionetRBDCode","RHINE","F","7.01056","46.93049","stable"
"CH","CHRW-1020","eionetMonitoringSiteCode","CHRW-1020","eionetMonitoringSiteCode","DIETIKON","CHRWB-2236","eionetSurfaceWaterBodyCode","REPPISCH","riverWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","8.39852","47.41098","stable"
"CH","CHLW-1596","eionetMonitoringSiteCode","CHLW-1596","eionetMonitoringSiteCode","LÜTZELSEE","CHLWB-3003","eionetSurfaceWaterBodyCode","LÜTZELSEE","lakeWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","8.77147","47.25955","stable"
"CH","CHNTG50","eionetMonitoringSiteCode","CHNTG50","eionetMonitoringSiteCode","DOMAT/EMS 2","CH3106","eionetGroundWaterBodyCode","ALPENRHEIN","groundWaterBody","","","","","","","CHRBD-1","eionetRBDCode","RHINE","F","9.47299","46.83846","retired"
